Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Tetraodontidae,"Lagocephalus inermis","(Temminck & Schlegel, 1850)"," M",native,,,"90.00 cm SL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: LPPL JIF162 (TGT2502).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Laine_u1.jpg"", ""Open image"")"
Tetraodontidae,"Lagocephalus lagocephalus","(Linnaeus, 1758)"," M, Sp",native,,,"61.00 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: NTM S.10740-001 (TGT1651).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lalag_u3.jpg"", ""Open image"")"
Tetraodontidae,"Lagocephalus lunaris","(Bloch & Schneider, 1801)"," Br, M",native,,,"45.00 cm SL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: LPPL JIF163 (TGT1027). Also Ref. 7050.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lalun_u3.jpg"", ""Open image"")"
Tetraodontidae,"Lagocephalus sceleratus","(Gmelin, 1789)"," M",native,,,"110 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: NMNZ P.15090 (TGT2559).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lasce_u5.jpg"", ""Open image"")"
Tetraodontidae,"Marilyna meraukensis","(de Beaufort, 1955)"," Br",native,,,"19.00 cm SL male/unsexed ",,"Found in the Merauke River, Irian Jaya.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Mamer_u0.jpg"", ""Open image"")"
Tetraodontidae,"Pao bergii","(Popta, 1905)"," Fr",native,,,,,"Known from Boelit River, Kapuas drainage, Kalimantan Barat, Borneo (Ref. 94476).","No picture yet."
Tetraodontidae,"Pao hilgendorfii","(Popta, 1905)"," Fr",native,,,,,"Known from Mahakam basin in eastern Borneo (Ref. 27732). Also Ref. 94476.","No picture yet."
Tetraodontidae,"Pao leiurus","(Bleeker, 1850)"," Fr",native,,,"16.00 cm male/unsexed ",,"Recorded from Java and Sumatra (Ref. 36654).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Telei_u0.jpg"", ""Open image"")"
Tetraodontidae,"Pao palembangensis","(Bleeker, 1851)"," Fr, Fi",native," Buntal (Malay)",,"19.40 cm SL male/unsexed ",,"Known from Sumatra, Borneo and Java (Ref. 7050). Found in the Kapuas Lakes area in Kalimantan Barat, Borneo (Ref. 56749). Recorded from Danau Sentarum National Park in the Kapuas basin, Kalimantan Barat, Borneo (Ref. 56749). Consumed locally (Ref. 56749). Also Ref. 94476.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tepal_u0.jpg"", ""Open image"")"
Tetraodontidae,"Sphoeroides pachygaster","(Müller & Troschel, 1848)"," M, Fi",native,,,"40.50 cm SL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: AMS I.22807-017.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Sppac_m0.jpg"", ""Open image"")"
Tetraodontidae,"Takifugu oblongus","(Bloch, 1786)"," Br, M",native," Pita-pita (Malay)",,"40.00 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Taobl_u1.jpg"", ""Open image"")"
Tetraodontidae,"Tetraodon waandersii","Bleeker, 1853"," Fr",native,,,"3.60 cm SL male/unsexed ",,"Known from Bangka.","No picture yet."
Tetraodontidae,"Torquigener brevipinnis","(Regan, 1903)"," M",native," Yellow-stripe toadfish (English)",,"13.50 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: NMNZ P.14787 (TGT2267). Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tobre_u2.jpg"", ""Open image"")"
Tetraodontidae,"Torquigener gloerfelti","Hardy, 1984"," M",native,,,,,"Bali Strait, Indonesia, 50-60 m.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Toglo_u0.jpg"", ""Open image"")"
Tetraodontidae,"Torquigener hicksi","Hardy, 1983"," M",native,,,"13.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: NMNZ P.105094 (TGT1870).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tohic_u0.jpg"", ""Open image"")"
Tetraodontidae,"Torquigener hypselogeneion","(Bleeker, 1852)"," M",native," Cheek-barred toadfish (English)",,"13.00 cm TL male/unsexed ",,"Type locality: Ambon I., Moluccas Is., Indonesia; Wahai, Ceram, Indonesia (Ref. 12965). Also Ref. 4919.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tohyp_u0.jpg"", ""Open image"")"
Tetraodontidae,"Torquigener pallimaculatus","Hardy, 1983"," M",native," Multi-spotted toadfish (English)",,"18.00 cm SL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Topal_u2.jpg"", ""Open image"")"
Tetraodontidae,"Torquigener parcuspinus","Hardy, 1983"," M",native,,,"10.00 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: NMNZ P.15092 (TGT2226).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Topar_u0.jpg"", ""Open image"")"
